id,text,timestamp,likes,cleaned_text
1843186838787526796,Thank you for thinking of me 🤍,2024-10-07T07:09:00.000Z,145401,thank you for thinking of me 
1807708249010905128,We are open,2024-07-01T09:30:00.000Z,34645,we are open
1791721493962858791,Monday is voting day in Mumbai. I urge all Mumbaikars to go out and vote responsibly.,2024-05-18T06:44:00.000Z,52610,monday is voting day in mumbai i urge all mumbaikars to go out and vote responsibly 
1770392276554117452,"The investments being made in Assam transform the state in complex treatment for cancer care. Today, the state government of Assam in partnership with the Tata group will make Assam a major player in sophisticated semiconductors. This new development will put Assam on the global map. We wish to thank the Chief Minister of Assam Mr. Himanta Biswa Sarma for his support and vision that has made all this possible.",2024-03-20T10:09:00.000Z,26172,the investments being made in assam transform the state in complex treatment for cancer care today the state government of assam in partnership with the tata group will make assam a major player in sophisticated semiconductors this new development will put assam on the global map we wish to thank the chief minister of assam mr himanta biswa sarma for his support and vision that has made all this possible 
1755518330335555607,Big things are coming 🐶🐱,2024-02-08T09:06:00.000Z,3715,big things are coming 
1738092115081719930,Delighted to receive this informative book @narendramodi,2023-12-22T07:00:00.000Z,17481,delighted to receive this informative book 
1718854586734371181,"I have made no suggestions to the ICC or any cricket faculty about any cricket member regarding a fine or reward to any players.

I have no connection to cricket whatsoever 

Please do not believe WhatsApp forwards and videos of such nature unless they come from my official platforms.",2023-10-30T04:57:00.000Z,66100,i have made no suggestions to the icc or any cricket faculty about any cricket member regarding a fine or reward to any players i have no connection to cricket whatsoever please do not believe whatsapp forwards and videos of such nature unless they come from my official platforms 
1676133295015247875,"Now that the monsoons are here, a lot of stray cats and dogs take shelter under our cars. It is important to check under our car before we turn it on and accelerate to avoid injuries to stray animals taking shelter. They can be seriously injured, handicapped and even killed if we are unaware of their presence under our vehicles. It would be heartwarming if we could all offer them temporary shelter when it is pouring this season.",2023-07-04T07:38:00.000Z,75932,now that the monsoons are here a lot of stray cats and dogs take shelter under our cars it is important to check under our car before we turn it on and accelerate to avoid injuries to stray animals taking shelter they can be seriously injured handicapped and even killed if we are unaware of their presence under our vehicles it would be heartwarming if we could all offer them temporary shelter when it is pouring this season 
1673659074544648195,I request netizens to please stay aware. I have no associations with cryptocurrency of any form.,2023-06-27T11:46:00.000Z,28944,i request netizens to please stay aware i have no associations with cryptocurrency of any form 
1609828281217609728,Words cannot describe the deep sense of loss I feel on the passing of my friend and colleague Mr. R. K. Krishnakumar. I will always fondly remember the camaraderie we shared both within the group and personally. He was a true veteran of the Tatas and will be missed dearly by all.,2023-01-02T08:25:00.000Z,44786,words cannot describe the deep sense of loss i feel on the passing of my friend and colleague mr r k krishnakumar i will always fondly remember the camaraderie we shared both within the group and personally he was a true veteran of the tatas and will be missed dearly by all 
1558765446614351872,My condolences,2022-08-14T10:40:00.000Z,119990,my condolences
1552905789467025411,"I remember JRD fondly on his 118th birth anniversary as a warm hearted and caring human being who had an enormous influence in my life. We shared many common interests, but what I really miss is his affection and kindness. 

Although Jeh is not with us, his legend will continue.",2022-07-29T06:36:00.000Z,78143,i remember jrd fondly on his 118th birth anniversary as a warm hearted and caring human being who had an enormous influence in my life we shared many common interests but what i really miss is his affection and kindness although jeh is not with us his legend will continue 
1541634307202363392,"Congratulations to the Government of Telangana and Chief Minister K. Chandrashekar Rao on its new T-hub facility in Hyderabad, which will be a great boost to the Indian startup ecosystem.",2022-06-28T04:07:00.000Z,40526,congratulations to the government of telangana and chief minister k chandrashekar rao on its new t hub facility in hyderabad which will be a great boost to the indian startup ecosystem 
1527204806439292928,"We would like to express our grateful appreciation of the judgement passed and upheld by the Supreme Court today. 

It reinforces the value system and the ethics of our judiciary.",2022-05-19T08:29:00.000Z,65981,we would like to express our grateful appreciation of the judgement passed and upheld by the supreme court today it reinforces the value system and the ethics of our judiciary 
1499252460744949762,"Mr. Jamsetji Nusserwanji Tata has provided us with his inspiration, his ethics, values and selflessness which have provided dignity and livelihood to thousands of citizens. My best wishes go out to all the Tata group employees on the birth anniversary of our founder.",2022-03-03T05:16:00.000Z,114732,mr jamsetji nusserwanji tata has provided us with his inspiration his ethics values and selflessness which have provided dignity and livelihood to thousands of citizens my best wishes go out to all the tata group employees on the birth anniversary of our founder 
1481866117526163456,"The Day I visited Galpin Jaguar on one of my retail outlet visits, I was excited to meet this gentleman from Guns N’ Roses who was taking delivery of his new Jaguar XKR. A very polite rockstar, Slash 🎸 
Clicked by Brian Allan",2022-01-14T05:49:00.000Z,90103,the day i visited galpin jaguar on one of my retail outlet visits i was excited to meet this gentleman from guns n roses who was taking delivery of his new jaguar xkr a very polite rockstar slash clicked by brian allan
1474618447988346881,🤍,2021-12-25T05:50:00.000Z,204450, 
1446431109122650118,"Welcome back, Air India 🛬🏠",2021-10-08T11:03:00.000Z,406400,welcome back air india 
1441293117123039240,"Congratulations to Airbus Defence, Tata Advanced Systems Limited and the Indian Defence Ministry 🤝 @tataadvanced @indiandefence @AirbusDefence @TataCompanies",2021-09-24T06:47:00.000Z,50336,congratulations to airbus defence tata advanced systems limited and the indian defence ministry 
1814704278168351137,Super Champs is where it’s at! @SuperChampsHQ,2024-07-20T16:49:00.000Z,4,super champs is where it s at 
1811452719779229740,"We're thrilled to announce and forge an alliance with the @ValhallaFdn & @InfiniGods for the “Road to Valhalla” questing campaign.

Super Champs Genesis NFT holders have exclusive blessings, benefits and perks, such as bonus point allocations, as well as bonus point multipliers to support their journey to glory.

Unite together, present us well, and march forth.

Valhalla awaits ⚡👇",2024-07-11T17:29:00.000Z,8471,we re thrilled to announce and forge an alliance with the for the road to valhalla questing campaign super champs genesis nft holders have exclusive blessings benefits and perks such as bonus point allocations as well as bonus point multipliers to support their journey to glory unite together present us well and march forth valhalla awaits 
1813734932700614791,"Subscribe to Premium+ to go ad-free in For You.

x.com/i/premium_sign_up",2024-07-18T00:38:00.000Z,13477,subscribe to premium to go ad free in for you x com i premium_sign_up
1815246928516436410,"Boss meter is here, and it’s time for you to make your favorite contestant win!

Vote for your favorite contestant by using their hashtags in the comment section.

#AdnaanIsTheBoss
#NaezyIsTheBoss
#SanaMakbulIsTheBoss
#VishalIsTheBoss
#SaiIsTheBoss
#RanvirIsTheBoss

#BiggBossOTT3 #BBOTT3onJioCinema #BBOTT3 #BiggBoss #JioCinemaPremium

#AdnaanShaikh @NaezyOfficial70 @SANAKHAN_93 #VishalPandey @saiketanrao @RanvirShorey",2024-07-22T04:46:00.000Z,2012,boss meter is here and it s time for you to make your favorite contestant win vote for your favorite contestant by using their hashtags in the comment section 
1774113576644682238,"#LSGvPBKS @SDhawan25 
#PBKS on fire 🔥
#PBKSvsLSG #DALS #فزت_ورب_الكعبه 
$EVERY $PARAM $BLOCK $BUBBLE",2024-03-30T16:36:00.000Z,23, on fire every param block bubble
1774354295254556939,"HAPPY EASTER DAY 💘🌼
#HappyEaster #BoikotEspro #IPL2024 #SRHvsGT #RamlilaMaidan $EVERY $PARAM $BLOCK $BUBBLE",2024-03-31T08:33:00.000Z,22,happy easter day every param block bubble
1774353099622424883,"I Love My India🥰🥰
#SaveDemocracy #SRHvsGT 
#IPL2024 #EasterSunday #BoikotEspro $EVERY $PARAM $BLOCK $MOJO",2024-03-31T08:28:00.000Z,22,i love my india every param block mojo
1774435911230701582,"Amazing match 🍻🍻
#prithvishaw is back🔥🔥

#DCvCSK #WhistlePodu #Yellove #IPL2024 #SRHvsGT 
$EVERY $PARAM $BLOCK $BUBBLE",2024-03-31T13:57:00.000Z,24,amazing match is back every param block bubble
1774448511989281020,lets see,2024-03-31T14:47:00.000Z,0,lets see
1774436430238150708,"The show stealer 🔥🔥 #prithvishaw is back baby 😁

#DCvCSK #WhistlePodu #Yellove #IPL2024
#SRHvsGT $EVERY $PARAM $BLOCK $MOJO",2024-03-31T13:59:00.000Z,23,the show stealer is back baby every param block mojo
1774114643885367587,"#Leverkusen well played boyz 🙂🙂
#DALS #فزت_ورب_الكعبه #Beyonce 
$EVERY $PARAM $BLOCK",2024-03-30T16:41:00.000Z,5, well played boyz every param block
1844165269587099836,Bharat bows in silence tonight 💔 om shanti sir 🙏🙏,2024-10-09T23:57:00.000Z,1,bharat bows in silence tonight om shanti sir 
1827227799347724501,Chamcho ki rajmata,2024-08-24T06:13:00.000Z,1,chamcho ki rajmata
1773644934093885880,Chutiye tu bhi mukhtar ka pakad ke jhool jata,2024-03-29T09:34:00.000Z,0,chutiye tu bhi mukhtar ka pakad ke jhool jata
1667876494146932736,Bhak chadarmod,2023-06-11T12:48:00.000Z,1,bhak chadarmod
1658170864226177024,Chal bhak dalle,2023-05-15T18:01:00.000Z,1,chal bhak dalle
1642086233781436419,Tum itne bade dhurt Chutiya pahle se hi the ya baad me huye ho,2023-04-01T08:47:00.000Z,1,tum itne bade dhurt chutiya pahle se hi the ya baad me huye ho
1590663940165754881,Bhag bsdk,2022-11-10T11:13:00.000Z,1,bhag bsdk
1358830537142538241,#motivation,2021-02-08T17:30:00.000Z,112,
1358830411195949056,#motivation,2021-02-08T17:29:00.000Z,81,
1358830294707539968,#motivation,2021-02-08T17:29:00.000Z,71,
1358830170753228800,#motivation,2021-02-08T17:28:00.000Z,66,
1358829843090006019,#motivation,2021-02-08T17:27:00.000Z,42,
1358829667445166080,#motivation,2021-02-08T17:26:00.000Z,29,
1358829490823024640,#motivation,2021-02-08T17:26:00.000Z,32,
1358450037940883456,"सपने वो नहीं है जो आप नींद में देखे, सपने वो है जो आपको नींद ही नहीं आने दे।

#drapjabdulkalam",2021-02-07T16:18:00.000Z,31,सपन व नह ह ज आप न द म द ख सपन व ह ज आपक न द ह नह आन द 
1358449156679888897,"जिस दिन हमारे सिग्नेचर आटोग्राफ में बदल जाये, उस दिन मान लीजिए आप कामयाब हो गये।
#drapjabdulkalam",2021-02-07T16:14:00.000Z,24,ज स द न हम र स ग न चर आट ग र फ म बदल ज य उस द न म न ल ज ए आप क मय ब ह गय 
1357300014683361280,मैं सही फैसले लेने में विश्वास नहीं करता बल्कि फैसले लेकर उन्हें सही साबित कर देता हूं - #RatanTata,2021-02-04T12:08:00.000Z,57,म सह फ सल ल न म व श व स नह करत बल क फ सल ल कर उन ह सह स ब त कर द त ह 
1357299083258470401,मिसाल कायम करने के लिए अपना रास्ता स्वयं बनाना होता है।,2021-02-04T12:04:00.000Z,43,म स ल क यम करन क ल ए अपन र स त स वय बन न ह त ह 
1807766026530017593,"Hindus Who Voted For Congress Are The Biggest
Erripuks 

Repost If You Agree.",2024-07-01T13:19:00.000Z,864,hindus who voted for congress are the biggest erripuks repost if you agree 
1846955652159017074,"BIG BREAKING NEWS 🚨 Yogi Adityanath Government will impose NSA on all the accused in the mu*rder of Ram Gopal in Bahraich.

Five Muslims have been arrested, two of them shot during Police encounter while trying to flee to Nepal.

Sarfaraz and Taleem are sons of main accused Abdul Hameed.",2024-10-17T16:45:00.000Z,6039,big breaking news yogi adityanath government will impose nsa on all the accused in the mu rder of ram gopal in bahraich five muslims have been arrested two of them shot during police encounter while trying to flee to nepal sarfaraz and taleem are sons of main accused abdul hameed 
1847131798716752176,"Gems of Thulasi Chandu.!! 🧵 

When 8 ex Indian Navy personnel got death sentence in Qatar, Thulasi accused the central govt of not putting efforts to save them for 11 months.!!

She blamed bhakts, WhatsApp University batch for outraging against movies but not for ex navy men.!!",2024-10-18T04:25:00.000Z,61,gems of thulasi chandu when 8 ex indian navy personnel got death sentence in qatar thulasi accused the central govt of not putting efforts to save them for 11 months she blamed bhakts whatsapp university batch for outraging against movies but not for ex navy men 
1847101839969280419,"""I may be a Marathi in Maharashtra but I am a Hindu in Hindustan.

A Legend 🔥",2024-10-18T02:26:00.000Z,6305, i may be a marathi in maharashtra but i am a hindu in hindustan a legend 
1847026551629795532,"Yahya Sinwar is dead.

He was killed in Rafah by the brave soldiers of the Israel Defense Forces. 

While this is not the end of the war in Gaza, it's the beginning of the end.",2024-10-17T21:27:00.000Z,93016,yahya sinwar is dead he was killed in rafah by the brave soldiers of the israel defense forces while this is not the end of the war in gaza it s the beginning of the end 
1846963771644039640,"Meet Suja Ansary, Daughter of Yamuddin Ansary. Threatening to Assassinate PM @narendramodi 

@WBPolice @SPMurshidabad @CIDWestBengal @CellDelhi @HMOIndia @PMOIndia @NIA_India",2024-10-17T17:17:00.000Z,4417,meet suja ansary daughter of yamuddin ansary threatening to assassinate pm 
1846979985837555863,Thindiki dhikana lekhapoienaa pandhila manam pillalni kanagalama? Kanesi ola ki Dena hai garibi toh modi ki Dena hai Ani modi medha thosi dengagalama cheppandi?,2024-10-17T18:21:00.000Z,85,thindiki dhikana lekhapoienaa pandhila manam pillalni kanagalama kanesi ola ki dena hai garibi toh modi ki dena hai ani modi medha thosi dengagalama cheppandi 
1846916775121703420,"Who died - Yahya Sinwar 

Who Killed - Israel 

Who is crying - Abdul from India.",2024-10-17T14:10:00.000Z,21955,who died yahya sinwar who killed israel who is crying abdul from india 
1846941711924166858,ఈడు బీఆర్ఎస్ నీ మొత్తం మొగ్గ గుడిపే వరకు ఆగడు 🤣😂,2024-10-17T15:49:00.000Z,423,ఈడ బ ఆర ఎస న మ త త మ గ గ గ డ ప వరక ఆగడ 
1846978860854005926,1400 years back evado oka pichi huk war lord ola is god annadu antha mathrana ola nijam ipothada cheppandi?,2024-10-17T18:17:00.000Z,135,1400 years back evado oka pichi huk war lord ola is god annadu antha mathrana ola nijam ipothada cheppandi 
1847065691792298349,"ఎగిరాడు ఎగిరాడు, 
తంతే ఏటికవతల పడ్డాడు 😂

Bye bye #Borugadda 👋",2024-10-18T00:02:00.000Z,2714,ఎగ ర డ ఎగ ర డ త త ఏట కవతల పడ డ డ bye bye 
1846987109091143975,"Who died - Yahya Sinwar 

Who killed him - Israeli forces 

Who is crying - Wajid Khan from Ajmer Jail",2024-10-17T18:50:00.000Z,6499,who died yahya sinwar who killed him israeli forces who is crying wajid khan from ajmer jail
1847112077359427991,Add me,2024-10-18T03:06:00.000Z,0,add me
1846951417975918763,Mana history gurinchi goppaga cheppina nachhadu villaki,2024-10-17T16:28:00.000Z,1,mana history gurinchi goppaga cheppina nachhadu villaki
1846949331787743409,Facts cheptey guddalo kaltadi convert Bhimta gallaki,2024-10-17T16:20:00.000Z,0,facts cheptey guddalo kaltadi convert bhimta gallaki
1846942848614007293,Do you know Ashoka maurya is before Jesus,2024-10-17T15:54:00.000Z,18,do you know ashoka maurya is before jesus
1846848221303427418,"Who is Lawrance Bishnoi? How did he become so popular from Canada to India? 

Full Thread 🧵",2024-10-17T09:38:00.000Z,8022,who is lawrance bishnoi how did he become so popular from canada to india full thread 
1846913070368805209,అబ్జర్వ్ చేసి అంటారు.,2024-10-17T13:56:00.000Z,0,అబ జర వ చ స అ ట ర 
1370604087440338948,Very thankful to have gotten my first vaccination shot today. It was effortless and painless. I truly hope everyone can be immunised and protected soon.,2021-03-13T05:14:00.000Z,123691,very thankful to have gotten my first vaccination shot today it was effortless and painless i truly hope everyone can be immunised and protected soon 
1366950764447465474,"My best wishes to all the Tata group companies, the employees & their families on the birth anniversary of our founder, Mr. Jamsetji Tata, who has inspired us with his kindness over the years.

This founder’s day has special emotions for me, reminding me of my mentor Mr. JRD Tata",2021-03-03T03:17:00.000Z,132211,my best wishes to all the tata group companies the employees their families on the birth anniversary of our founder mr jamsetji tata who has inspired us with his kindness over the years this founder s day has special emotions for me reminding me of my mentor mr jrd tata
1357896316047736832,"While I appreciate the sentiments expressed by a section of the social media in terms of an award, I would humbly like to request that such campaigns be discontinued. 

Instead, I consider myself fortunate to be an Indian and to try and contribute to India’s growth and prosperity",2021-02-06T03:38:00.000Z,112593,while i appreciate the sentiments expressed by a section of the social media in terms of an award i would humbly like to request that such campaigns be discontinued instead i consider myself fortunate to be an indian and to try and contribute to india s growth and prosperity
1330761272460152832,"Congratulations on the 4 million milestone! I wish you all the very best for the road ahead.

@TataMotors @TataMotors_Cars 

yewtu.be/0Njd1CFtAFU",2020-11-23T06:33:00.000Z,36294,congratulations on the 4 million milestone i wish you all the very best for the road ahead yewtu be 0njd1cftafu
1273931747680534528,"Celebrating the spirit of self-reliance, we are proud of our weavers who, with the help of Antaran honed their entrepreneurial skills to support their families during the national lockdown. On behalf of these artisans, their communities and Antaran, we thank you for your support.",2020-06-19T10:52:00.000Z,11712,celebrating the spirit of self reliance we are proud of our weavers who with the help of antaran honed their entrepreneurial skills to support their families during the national lockdown on behalf of these artisans their communities and antaran we thank you for your support 
1259748476574855168,"In past difficult times, entrepreneurs have displayed far sightedness and creativity that could not have been believed to exist. These became the flagpoles of innovation and new technology today. Read at instagram.com/p/CACXKahnnYL/…",2020-05-11T07:33:00.000Z,46598,in past difficult times entrepreneurs have displayed far sightedness and creativity that could not have been believed to exist these became the flagpoles of innovation and new technology today read at instagram com p cacxkahnnyl 
1258791391867494401,"As happy as I am to support this venture, it has been a minority token investment. 
I have not purchased 50% stake in the company.",2020-05-08T16:10:00.000Z,33833,as happy as i am to support this venture it has been a minority token investment i have not purchased 50 stake in the company 
1256937814215626752,"I’m afraid this too, has not been said by me. I will endeavour to call out fake news whenever I can, but would encourage you to always verify news sources. My picture alongside a quote does not guarantee me having said it, a problem that many people face.",2020-05-03T13:25:00.000Z,127331,i m afraid this too has not been said by me i will endeavour to call out fake news whenever i can but would encourage you to always verify news sources my picture alongside a quote does not guarantee me having said it a problem that many people face 
