id,text,timestamp,likes,cleaned_text,sentiment_score,sentiment
1883867200211361877,"If Nehru was here he would’ve started a union government funded AI research center, tasking India to compete. 

Modi is happy with his Kumbha mela and showering roses from the choppers",Mon Jan 27 13:18:35 +0000 2025,1,if nehru was here he would ve started a union government funded ai research center tasking india to compete modi is happy with his kumbha mela and showering roses from the choppers,0.5719,positive
1883866240860766234,@republic Omg...what stupid questions he is asking??,Mon Jan 27 13:14:47 +0000 2025,1, omg what stupid questions he is asking ,-0.5267,negative
1883865416419951037,"The most astonishing insinuation in NYT hit piece on Tulsi Gabbard is that Hindu American Foundation, BJP &amp; Narendra Modi will have practically have a peek at her intelligence briefings everyday (at least that's the way I understood that line), 'cos HAF funded/supported her. https://t.co/qBujH06eBe",Mon Jan 27 13:11:30 +0000 2025,1,the most astonishing insinuation in nyt hit piece on tulsi gabbard is that hindu american foundation bjp amp narendra modi will have practically have a peek at her intelligence briefings everyday at least that s the way i understood that line cos haf funded supported her ,0.6597,positive
1883864950789255348,Infact the national media should be posting this question to Modi 🤪🤭 https://t.co/MqHS7qc4K1,Mon Jan 27 13:09:39 +0000 2025,5,infact the national media should be posting this question to modi ,0.0,neutral
1883864848200794129,"Narendra Modi and Amit Shah have committed so many sins that even after 100 births they will not go into the heaven. 

They will go to hell because of the curses  given by poor people. 

— Congress President @kharge Ji https://t.co/cqrDNSNn3c",Mon Jan 27 13:09:14 +0000 2025,5,narendra modi and amit shah have committed so many sins that even after 100 births they will not go into the heaven they will go to hell because of the curses given by poor people congress president ji ,-0.7635,negative
1883864262931874129,"We appreciate the @BJP4UP government's stand against VIP culture &amp; truly respect @myogiadityanath Ji. But it’s unclear which VIP’s visit has caused Prayagraj, already struggling with traffic issues, to come to a stand.People are stuck.@myogioffice ji, plz do something about it 🙏 https://t.co/RHpXIK04SC",Mon Jan 27 13:06:55 +0000 2025,1,we appreciate the government s stand against vip culture amp truly respect ji but it s unclear which vip s visit has caused prayagraj already struggling with traffic issues to come to a stand people are stuck ji plz do something about it ,0.4939,positive
1883863635581403512,"This is huge : Trump stopped all the aid being given to India with immediate effect. 

America won't be helping Narendra Modi's led India anymore. Previous administration had helped Narendra Modi to take over India. https://t.co/LaT1T2qShJ",Mon Jan 27 13:04:25 +0000 2025,10,this is huge trump stopped all the aid being given to india with immediate effect america won t be helping narendra modi s led india anymore previous administration had helped narendra modi to take over india ,0.743,positive
1883863619664023940,"#WATCH | Delhi | Union Minister Arjun Ram Meghwal says, ""He (Mallikarjun Kharge) said this in Mhow where BR Ambedkar was born. I want to ask him - did any of the Congress' PMs go to Mhow on the birth anniversary (of BR Ambedkar)? PM Modi is the only prime minister to attend that ceremony in 2016...""",Mon Jan 27 13:04:22 +0000 2025,22, delhi union minister arjun ram meghwal says he mallikarjun kharge said this in mhow where br ambedkar was born i want to ask him did any of the congress pms go to mhow on the birth anniversary of br ambedkar pm modi is the only prime minister to attend that ceremony in 2016 ,0.0772,positive
1883862914232385925,"Prime Minister Narendra Modi will hold three election rallies in Delhi for the Assembly elections in the national capital, scheduled for February 5.
@AishPaliwal #NarendraModi #Delhi #DelhiElections 
https://t.co/3RepFfCmxZ",Mon Jan 27 13:01:33 +0000 2025,1,prime minister narendra modi will hold three election rallies in delhi for the assembly elections in the national capital scheduled for february 5 ,0.0,neutral
1883862811346149740,@dubsndoo I'll do that when you explain how it's legal for India's Modi to choose the leade of the CPC.,Mon Jan 27 13:01:09 +0000 2025,2, i ll do that when you explain how it s legal for india s modi to choose the leade of the cpc ,0.128,positive
